Description,Actual_price,Discount_price,Image_urls
A classic and delicate piece like this red beaded kundan set is a must-have in every jewellery collection. Features a necklace crafted from kundan stones and red beads  Style Tip : Pair this with a mangtika with red bead drops.,4500, 2250,"['https://img.faballey.com/images/Product/ZNS00054/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00054/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00054/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00054/d6.jpg']"
If you love kundan but want to keep it simple and classy this set should be your pick! Features a gold plated white kundan necklace with a single red drop bead along with dangler earrings Style Tip: Pair this set with a classic bun to keep the look minimal and sophisticated.,3200, 1600,"['https://img.faballey.com/images/Product/ZNS00003/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00003/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00003/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00003/d6.jpg']"
"Make a striking statement at the next cocktail-do with this gold-plated kundan pendant necklace set. The pendant, crafted with a long aqua blue stone and a kundan encrusted floral motif, comes with kundan floral stud earrings.  Style Tip: Complete the look with an aqua blue cocktail ring. Disclaimer: Our jewelry is handcrafted using natural stones which inherently vary in size, colour, and Shape, due to which the product you receive may be slightly different from what is shown. There may be natural blemishes in the stones that are not product flaws, but in fact, are what make your piece unique.  ",2950, 1475,"['https://img.faballey.com/images/Product/ZNS00062/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00062/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00062/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00062/d6.jpg', 'https://img.faballey.com/images/Product/ZNS00062/d7.jpg']"
"Classic and timeless, this kundan and multicolor bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green and red beads. Style Tip: Pair this set with a cocktail ring to complete the look.",4000, 2000,"['https://img.faballey.com/images/Product/ZNS00053/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00053/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00053/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00053/d6.jpg']"
"For all those who shy away from statement pieces, this set is the perfect pick. Features a necklace crafted out of oval shaped kundan stones and pearl cluster drops along with earrings.  Style Tip: Complete the look with kundan and pearl bangles.",3500, 1750,"['https://img.faballey.com/images/Product/ZNS00046/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00046/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00046/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00046/d6.jpg']"
"Classic and timeless, this kundan and green bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green beads. Style Tip: Pair this set with a cocktail ring to complete the look.",4000, 2000,"['https://img.faballey.com/images/Product/ZNS00049/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00049/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00049/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00049/d6.jpg']"
Give your festive look a magnificent feel with this rose gold plated necklace set. Crafted in a square shape and encrusted with CZ diamonds this necklace set is one of a kind piece to have and cherish.  Style Tip: Pair the necklace set with a cocktail sari and complete the look with subtle makeup. ,4900, 2450,"['https://img.faballey.com/images/Product/ZNS00064/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00064/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00064/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00064/d6.jpg']"
"Pepper your festive look with the grandeur of this imposing gold-plated maroon kundan necklace set. It features alternating floral and square shaped kundan pieces on a single layer choker necklace along with complementing earrings.  Style Tip: Pair the set with an off-shoulder neckline. Disclaimer: Our jewelry is handcrafted using natural stones which inherently vary in size, colour, and Shape, due to which the product you receive may be slightly different from what is shown. There may be natural blemishes in the stones that are not product flaws, but in fact, are what make your piece unique.  ",4500, 2250,"['https://img.faballey.com/images/Product/ZNS00058/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00058/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00058/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00058/d6.jpg']"
"A beautiful amalgamation of kundan and yellow pearls, this neckpiece will see you through your afternoon soirees to your cocktail evenings. Features a neat setting of pearls and kundan  Style Tip: Style this with a lush white blazer to give your western wear a romantic sartorial twist.",4000, 2000,"['https://img.faballey.com/images/Product/ZNS00048/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00048/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00048/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00048/d6.jpg']"
"Old world charm meets modern elegance with this set. Features a gold plated white kundan set with crescent motifs and white enamel detailing, topped with white drop pearls. Style Tip: Pair this traditional piece with a saree and pull your hair up in a soft bun.",5000, 2500,"['https://img.faballey.com/images/Product/ZNS00007/d3.jpg', 'https://img.faballey.com/images/Product/ZNS00007/d4.jpg', 'https://img.faballey.com/images/Product/ZNS00007/d5.jpg', 'https://img.faballey.com/images/Product/ZNS00007/d6.jpg']"
